Nome Olfazeta;Ispirato a:;Marca;Cod. 15ml;Prezzo 15ml;Cod. 30ml;Prezzo 30ml;Cod. 70ml;Prezzo 70ml;;;;;;;;;;;;;;;;;
CLASSIQUE;Classique Essence;JPG;T081;11.90 €;381;18.00 €;081;35.00 €;;;;;;;;;;;;;;;;;
SIGNORINA;Signorina;FERRAGAMO;T082;11.90 €;382;18.00 €;082;35.00 €;;;;;;;;;;;;;;;;;
CHANCE;Chance;CHANEL;T085;11.90 €;385;18.00 €;085;35.00 €;;;;;;;;;;;;;;;;;
MON PARIS;Mon Paris;YSL;T089;11.90 €;389;18.00 €;089;35.00 €;;;;;;;;;;;;;;;;;
POISON GIRL;Poison Girl;DIOR;T090;11.90 €;390;18.00 €;090;35.00 €;;;;;;;;;;;;;;;;;
AVENTUS HER;Aventus for Her;CREED;T093;17.90 €;393;29.50 €;093;57.00 €;;;;;;;;;;;;;;;;;
BRITISH CHARM;Burberry Woman;BURBERRY;T159W;11.90 €;3159W;18.00 €;159W;35.00 €;;;;;;;;;;;;;;;;;
GABRIELLE;Gabrielle;CHANEL;T096;11.90 €;396;18.00 €;096;35.00 €;;;;;;;;;;;;;;;;;
AMO FERRAGAMO;Amo Ferragamo;FERRAGAMO;T097;11.90 €;397;18.00 €;097;35.00 €;;;;;;;;;;;;;;;;;
JOY;Joy;DIOR;T098;11.90 €;398;18.00 €;098;35.00 €;;;;;;;;;;;;;;;;;
IDOLE;Idole;LANCOME;T115;11.90 €;3115;18.00 €;115;35.00 €;;;;;;;;;;;;;;;;;
YES I AM;Yes I Am;CACHAREL;T116;11.90 €;3116;18.00 €;116;35.00 €;;;;;;;;;;;;;;;;;
SCANDAL;Scandal;JPG;T119;11.90 €;3119;18.00 €;119;35.00 €;;;;;;;;;;;;;;;;;
LA PETITE ROBE;La Petite Robe;GUERLAIN;T120;11.90 €;3120;18.00 €;120;35.00 €;;;;;;;;;;;;;;;;;
L'INTERDIT;L'interdit;GIVENCHY;T121;11.90 €;3121;18.00 €;121;35.00 €;;;;;;;;;;;;;;;;;
LIBRE;Libre;YSL;T122;14.90 €;3122;25.50 €;122;48.00 €;;;;;;;;;;;;;;;;;
GOOD GIRL;Good Girl;CAROLINA HERRERA;T131;14.90 €;3131;25.50 €;131;48.00 €;;;;;;;;;;;;;;;;;
MY WAY;My Way;GIORGIO ARMANI;T132;13.90 €;3132;23.50 €;132;45.00 €;;;;;;;;;;;;;;;;;
PRADA PARADOXE;Prada Paradoxe;PRADA;T133;11.90 €;3133;18.00 €;133;35.00 €;;;;;;;;;;;;;;;;;
DEVOTION;Devotion;D&G;T145;11.90 €;3145;18.00 €;145;35.00 €;;;;;;;;;;;;;;;;;
DIVINE AURA;Goodess;BURBERRY;T148W;11.90 €;3148W;18.00 €;148W;35.00 €;;;;;;;;;;;;;;;;;
ETERNAL LOVE;Born in Roma;VALENTINO;T161W;11.90 €;3161W;18.00 €;161W;35.00 €;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Nome Olfazeta;Ispirato a:;Marca;Cod. 15ml;Prezzo 15ml;Cod. 30ml;Prezzo 30ml;Cod. 70ml;Prezzo 70ml;;;;;;;;;;;;;;;;;
;Profumi UNISEX;;;;;;;;;;;;;;;;;;;;;;;;
SILVER MOUNTAIN;Silver Mountain;CREED;T044;14.90 €;344;25.50 €;044;48.00 €;;;;;;;;;;;;;;;;;
BLACK ORCHID;Black Orchid;TOM FORD;T054;11.90 €;354;18.00 €;054;35.00 €;;;;;;;;;;;;;;;;;
PATCHOULI;Patchouli;REMINISCENCE;T072;11.90 €;372;18.00 €;072;35.00 €;;;;;;;;;;;;;;;;;
HIMALAYA;Himalaya;CREED;T073;14.90 €;373;25.50 €;073;48.00 €;;;;;;;;;;;;;;;;;
MANDARINO AMALFI;Mandarino Amalfi;TOM FORD;T099;13.90 €;399;23.50 €;099;45.00 €;;;;;;;;;;;;;;;;;
WHITE AOUD;White Aoud;MONTALE;T100;11.90 €;3100;18.00 €;100;35.00 €;;;;;;;;;;;;;;;;;
INTENSE CAFE';Intense Café;MONTALE;T105;11.90 €;3105;18.00 €;105;35.00 €;;;;;;;;;;;;;;;;;
GOLD KIRKE';Kirkè;T. TERENZI;T110;14.90 €;3110;25.50 €;110;48.00 €;;;;;;;;;;;;;;;;;
OMBRE NOMADE;Ombre Nomade;L. VUITTON;T114;14.90 €;3114;25.50 €;114;48.00 €;;;;;;;;;;;;;;;;;
BOIS D'ARGENT;Bois d'Argent;C. DIOR;T135;17.90 €;3135;29.50 €;135;57.00 €;;;;;;;;;;;;;;;;;
OMBRE' LEATHER;Ombre Leather;TOM FORD;T142;17.90 €;3142;29.50 €;142;57.00 €;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;PROFUMI LUXURY;;;;;;;;;;;;;;;;;;;;;;;;
Nome Olfazeta;Ispirato a:;Marca;Cod. 15ml;Prezzo 15ml;Cod. 50ml;Prezzo 50ml;GENERE;;;;;;;;;;;;;;;;;;
BLACK AFGANO;Black Afgano;Nasomatto;T074;19.90 €;074;52.00 €;Unisex;;;;;;;;;;;;;;;;;;
X FOR MEN;X for Men;Clive Christian;T075;19.90 €;075;52.00 €;Uomo;;;;;;;;;;;;;;;;;;
VELVET AMBER SKIN;Velvet Amber Skin;D&G;T101;19.90 €;101;52.00 €;Unisex;;;;;;;;;;;;;;;;;;
VELVET AMBER SUN;Velvet Amber Sun;D&G;T102;19.90 €;102;52.00 €;Unisex;;;;;;;;;;;;;;;;;;
FUCKING FABULOUS;F. Fabulous;Tom Ford;T106;19.90 €;106;52.00 €;Unisex;;;;;;;;;;;;;;;;;;
J'ADORE L'OR;L'Or;Dior;T109;19.90 €;109;52.00 €;Donna;;;;;;;;;;;;;;;;;;
LOST CHERRY;Lost Cherry;Tom Ford;T111;19.90 €;111;52.00 €;Unisex;;;;;;;;;;;;;;;;;;
NEROLI PORTOFINO;Neroli Portofino;Tom Ford;T112;19.90 €;112;52.00 €;Unisex;;;;;;;;;;;;;;;;;;
TOBACCO VANILLE;Tobacco Vanille;Tom Ford;T117;19.90 €;117;52.00 €;Unisex;;;;;;;;;;;;;;;;;;
BACCARAT ROUGE 540;Baccarat Rouge 540;F. Kurkdjian;T118;19.90 €;118;52.00 €;Unisex;;;;;;;;;;;;;;;;;;
GOOD GIRL GONE BAD;Good Girl Gone Bad;Kilian;T123;19.90 €;123;52.00 €;Donna;;;;;;;;;;;;;;;;;;
ZETA;Zeta;Morph;T124;19.90 €;124;52.00 €;Unisex;;;;;;;;;;;;;;;;;;
SOLE DI POSITANO;Sole di Positano;Tom Ford;T125;19.90 €;125;52.00 €;Unisex;;;;;;;;;;;;;;;;;;
SOLEIL BLANC;Soleil Blanc;Tom Ford;T126;19.90 €;126;52.00 €;Unisex;;;;;;;;;;;;;;;;;;
OUD WOOD;Oud Wood;Tom Ford;T127;19.90 €;127;52.00 €;Unisex;;;;;;;;;;;;;;;;;;
VANILLE FATALE;Vanille Fatale;Tom Ford;T128;19.90 €;128;52.00 €;Unisex;;;;;;;;;;;;;;;;;;
ERBA PURA;Erba Pura;Xerjoff;T129;19.90 €;129;52.00 €;Unisex;;;;;;;;;;;;;;;;;;
MEGAMARE;Megamare;Orto Parisi;T130;22.90 €;130;65.00 €;Unisex;;;;;;;;;;;;;;;;;;
BITTER PEACH;Bitter Peach;Tom Ford;T134;19.90 €;134;52.00 €;Unisex;;;;;;;;;;;;;;;;;;
NAXOS;Naxos;Xerjoff;T137;19.90 €;137;52.00 €;Unisex;;;;;;;;;;;;;;;;;;
WOOD WHISPER;Wood Whisper;Ojar;T138;19.90 €;138;52.00 €;Unisex;;;;;;;;;;;;;;;;;;
LES SABLES ROSES;Les Sables Roses;Louis Vuitton;T139;22.90 €;139;65.00 €;Unisex;;;;;;;;;;;;;;;;;;
TURATH;Turath;Spirit of Dubai;T141;22.90 €;141;65.00 €;Unisex;;;;;;;;;;;;;;;;;;
VANILLA POWDER;Vanilla Powder;Matière Première;T143;19.90 €;143;52.00 €;Unisex;;;;;;;;;;;;;;;;;;
BIANCO LATTE;Bianco Latte;G. di Toscana;T144;19.90 €;144;52.00 €;Unisex;;;;;;;;;;;;;;;;;;
ROUGE;Rouge;Balmain;T146U;19.90 €;146;52.00 €;Unisex;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
ESSENZA LUXURY;Essenza Luxury;Olfazeta;;;EVENT22;60.00 €;Unisex;;;;;;;;;;;;;;;;;;
SEDUCTION;Essenza Luxury;Olfazeta;;;EVENT23W;60.00 €;Donna;;;;;;;;;;;;;;;;;;
MYSTERE;Essenza Luxury;Olfazeta;;;EVENT23M;60.00 €;Uomo;;;;;;;;;;;;;;;;;;
MULTIVERSE;Essenza Luxury;Olfazeta;;;MULTIVERSE;60.00 €;Uomo;;;;;;;;;;;;;;;;;;
ASTRAL24;Essenza Luxury;Olfazeta;;;ASTRAL24;60.00 €;Donna;;;;;;;;;;;;;;;;;;
NADIR;Essenza Luxury;Olfazeta;TNADIR;20.90 €;NADIR;60.00 €;Uomo;;;;;;;;;;;;;;;;;;
IMPERATRIX;Essenza Luxury;Olfazeta;TIMPERATRIX;20.90 €;IMPERATRIX;60.00 €;Donna;;;;;;;;;;;;;;;;;;
